Reaction id 	 Name 	 Reason why it is unbalance 	 Sum of reactants coefficients 	 Sum of products coefficients 	 Difference between reactants and products 	 It was balanced 	 What was modified 	 Sum of reactants coefficients 	 Sum of products coefficients 	 Difference between reactants and products 
 RXN1G__45__818	 RXN1G-818	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 63}{ X: 2}{ H: 114}{ N: 3}{ O: 12}  	  { P: 1} { C: 63} { S: 2} { X: 2} { H: 115} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 63}{ X: 2}{ H: 112}{ N: 3}{ O: 12} 	 { P: 1}{ C: 63}{ S: 2}{ X: 2}{ H: 115}{ N: 3}{ O: 12} 	 { H: -3} 	 
S__45__2__45__HYDROXY__45__ACID__45__OXIDASE__45__RXN	 S-2-HYDROXY-ACID-OXIDASE-RXN	Reactants and product do not have the same elements  	 { O: 2}  	  { H: 2} { O: 2}   	    	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__7801	 RXN-7801	The sum of coefficients is different on both sides 	 { C: 44}{ X: 2}{ H: 79}{ N: 1}{ O: 9}  	  { C: 25} { X: 1} { H: 48} { N: 1} { O: 8}   	  { C: 19}{ X: 1}{ H: 31}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN1G__45__840	 RXN1G-840	The sum of coefficients is different on both sides 	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3}  	  { C: 1} { S: 1} { X: 1} { H: 2} { O: 2}   	  { C: 2}{ H: 1}{ O: 1}  	 YES 	 Impossible to solve by a system of equations	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3} 	 { C: 1}{ S: 1}{ X: 1}{ H: 2}{ O: 2} 	 { C: 2}{ H: 1}{ O: 1} 	 
RXN__45__17812	 RXN-17812	The sum of coefficients is different on both sides 	 { C: 5}{ H: 4}{ O: 7}  	  { C: 6} { H: 6} { O: 7}   	  { C: -1}{ H: -2}  	 YES 	 Impossible to solve by a system of equations	 { C: 5}{ H: 4}{ O: 7} 	 { C: 6}{ H: 6}{ O: 7} 	 { C: -1}{ H: -2} 	 
RXN__45__13684	 RXN-13684	The sum of coefficients is different on both sides 	 { S: 1}{ C: 5}{ X: 1}{ H: 10}{ N: 1}{ O: 4}  	  { S: 1} { C: 5} { X: 1} { H: 9} { N: 1} { O: 4}   	  { H: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__9556	 RXN-9556	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 22}{ X: 2}{ H: 28}{ N: 7}{ O: 18}  	  { P: 4} { S: 1} { C: 53} { X: 1} { H: 82} { N: 10} { O: 27}   	  { P: -1}{ C: -31}{ X: 1}{ H: -54}{ N: -3}{ O: -9}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
METHYLVALERATE__45__RXN	 METHYLVALERATE-RXN	Reactants and product do not have the same elements  	 { S: 2}{ C: 21}{ X: 2}{ H: 36}{ N: 2}{ O: 5}  	  { C: 1} { O: 2}   	  { S: 2}{ C: 20}{ X: 2}{ H: 36}{ N: 2}{ O: 3}  	 NO 	  	  - 	 - 	 - 	 - 	 
KETOISOCAPROATE__45__RXN	 KETOISOCAPROATE-RXN	Reactants and product do not have the same elements  	 { S: 2}{ C: 21}{ X: 2}{ H: 36}{ N: 2}{ O: 5}  	  { C: 1} { O: 2}   	  { S: 2}{ C: 20}{ X: 2}{ H: 36}{ N: 2}{ O: 3}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__11474	 RXN-11474	The sum of coefficients is different on both sides 	 { S: 2}{ C: 7}{ X: 2}{ H: 8}{ O: 6}  	  { S: 2} { C: 7} { X: 2} { H: 9} { O: 6}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { S: 2}{ C: 7}{ X: 2}{ H: 6}{ O: 6} 	 { S: 2}{ C: 7}{ X: 2}{ H: 9}{ O: 6} 	 { H: -3} 	 
RXN__45__16890	 RXN-16890	Reactants and product do not have the same elements  	 { S: 1}{ C: 21}{ X: 2}{ H: 36}{ N: 10}{ O: 6}  	  { S: 1} { C: 14} { H: 21} { N: 6} { O: 5}   	  { C: 7}{ X: 2}{ H: 15}{ N: 4}{ O: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__17853	 RXN-17853	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 23}{ H: 34}{ N: 7}{ O: 17}  	  { P: 3} { S: 1} { C: 21} { H: 33} { N: 7} { O: 16}   	  { C: 2}{ H: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN__45__16181	 RXN-16181	Reactants and product do not have the same elements  	 { P: 6}{ C: 42}{ H: 50}{ N: 14}{ O: 32}  	  { P: 6} { C: 63} { S: 1} { X: 1} { H: 80} { N: 14} { O: 34}   	  { C: -21}{ H: -30}{ O: -2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__17811	 RXN-17811	Reactants and product do not have the same elements  	 { C: 5}{ H: 4}{ O: 7}  	  { P: 2} { C: 16} { X: 2} { H: 17} { N: 5} { O: 17}   	  { C: -11}{ H: -13}{ O: -10}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__11480	 RXN-11480	The sum of coefficients is different on both sides 	 { P: 3}{ C: 21}{ H: 27}{ N: 7}{ O: 17}  	  { P: 3} { C: 21} { H: 25} { N: 7} { O: 17}   	  { H: 2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__18918	 RXN-18918	Reactants and product do not have the same elements  	 { C: 56}{ X: 2}{ H: 94}{ N: 4}{ O: 43}  	  { C: 6} { H: 12} { O: 6}   	  { C: 50}{ X: 2}{ H: 82}{ N: 4}{ O: 37}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__19953	 RXN-19953	The sum of coefficients is different on both sides 	 { X: 1}{ H: 1}{ O: 2}  	  { X: 1} { H: 1} { O: 1}   	  { O: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__9550	 RXN-9550	Reactants and product do not have the same elements  	 { P: 1}{ S: 1}{ C: 30}{ X: 1}{ H: 55}{ N: 3}{ O: 10}  	  { C: 16} { S: 1} { X: 1} { H: 32} { O: 2}   	  { P: 1}{ C: 14}{ H: 23}{ N: 3}{ O: 8}  	 NO 	  	  - 	 - 	 - 	 - 	 
GLUCURONOXYLAN__45__4__45__O__45__METHYLTRANSFERASE__45__RXN	 GLUCURONOXYLAN-4-O-METHYLTRANSFERASE-RXN	The sum of coefficients is different on both sides 	 { S: 1}{ C: 15}{ H: 23}{ N: 6}{ O: 5}  	  { S: 1} { C: 14} { H: 21} { N: 6} { O: 5}   	  { C: 1}{ H: 2}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS__45__RXN	 UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	The sum of coefficients is different on both sides 	 { P: 2}{ S: 1}{ C: 43}{ X: 1}{ H: 76}{ N: 3}{ O: 20}  	  { P: 2} { C: 43} { S: 1} { X: 1} { H: 78} { N: 3} { O: 20}   	  { H: -2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__12518	 RXN-12518	Reactants and product do not have the same elements  	 { O: 2}  	  { H: 2} { O: 2}   	    	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__11484	 RXN-11484	Reactants and product do not have the same elements  	 { R: 1}{ C: 10}{ H: 18}{ N: 1}{ O: 5}  	  { S: 1} { C: 10} { X: 1} { H: 19} { N: 1} { O: 5}   	  { R: 1}{ H: -1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__17851	 RXN-17851	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 23}{ H: 34}{ N: 7}{ O: 17}  	  { P: 3} { S: 1} { C: 21} { H: 33} { N: 7} { O: 16}   	  { C: 2}{ H: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
_2__46__7__46__9__46__5__45__RXN	 2.7.9.5-RXN	The sum of coefficients is different on both sides 	 { P: 3}{ C: 10}{ H: 14}{ N: 5}{ O: 14}  	  { P: 2} { C: 10} { H: 15} { N: 5} { O: 11}   	  { P: 1}{ H: -1}{ O: 3}  	 YES 	 Impossible to solve by a system of equations	 { P: 3}{ C: 10}{ H: 14}{ N: 5}{ O: 14} 	 { P: 2}{ C: 10}{ H: 15}{ N: 5}{ O: 11} 	 { P: 1}{ H: -1}{ O: 3} 	 
ISOVALERYLCOA__45__DHLIPOAMIDE__45__RXN	 ISOVALERYLCOA-DHLIPOAMIDE-RXN	Reactants and product do not have the same elements  	 { P: 3}{ S: 3}{ C: 41}{ X: 2}{ H: 68}{ N: 9}{ O: 19}  	  { P: 3} { S: 1} { C: 21} { H: 32} { N: 7} { O: 16}   	  { S: 2}{ C: 20}{ X: 2}{ H: 36}{ N: 2}{ O: 3}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN0__45__7114	 RXN0-7114	Reactants and product do not have the same elements  	 { P: 2}{ S: 1}{ C: 30}{ X: 1}{ H: 40}{ N: 12}{ O: 19}  	  { S: 1} { C: 14} { H: 21} { N: 6} { O: 5}   	  { P: 2}{ C: 16}{ X: 1}{ H: 19}{ N: 6}{ O: 14}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__17855	 RXN-17855	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 23}{ H: 34}{ N: 7}{ O: 17}  	  { P: 3} { S: 1} { C: 21} { H: 33} { N: 7} { O: 16}   	  { C: 2}{ H: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN__45__17867	 RXN-17867	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 23}{ H: 34}{ N: 7}{ O: 17}  	  { P: 3} { S: 1} { C: 21} { H: 33} { N: 7} { O: 16}   	  { C: 2}{ H: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN1G__45__557	 RXN1G-557	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 61}{ X: 2}{ H: 110}{ N: 3}{ O: 12}  	  { P: 1} { C: 61} { S: 2} { X: 2} { H: 111} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 61}{ X: 2}{ H: 108}{ N: 3}{ O: 12} 	 { P: 1}{ C: 61}{ S: 2}{ X: 2}{ H: 111}{ N: 3}{ O: 12} 	 { H: -3} 	 
RXN1G__45__236	 RXN1G-236	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 47}{ X: 2}{ H: 84}{ N: 3}{ O: 12}  	  { P: 1} { C: 47} { S: 2} { X: 2} { H: 85} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 47}{ X: 2}{ H: 82}{ N: 3}{ O: 12} 	 { P: 1}{ C: 47}{ S: 2}{ X: 2}{ H: 85}{ N: 3}{ O: 12} 	 { H: -3} 	 
RXN__45__15559	 RXN-15559	The sum of coefficients is different on both sides 	 { S: 2}{ C: 6}{ X: 4}{ H: 10}{ N: 2}{ O: 2}  	  { S: 2} { C: 6} { X: 3} { H: 10} { N: 2} { O: 2}   	  { X: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__881	 RXN1G-881	The sum of coefficients is different on both sides 	 { P: 3}{ C: 21}{ H: 27}{ N: 7}{ O: 17}  	  { P: 3} { C: 21} { H: 25} { N: 7} { O: 17}   	  { H: 2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__16121	 RXN-16121	Reactants and product do not have the same elements  	 { P: 1}{ C: 5}{ X: 2}{ H: 7}{ O: 9}  	  { P: 1} { C: 39} { H: 71} { O: 11}   	  { C: -34}{ X: 2}{ H: -64}{ O: -2}  	 NO 	  	  - 	 - 	 - 	 - 	 
_3__46__1__46__4__46__37__45__RXN	 3.1.4.37-RXN	Reactants and product do not have the same elements  	 { H: 2}{ O: 1}  	  { H: 1}   	  { H: 1}{ O: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__617	 RXN1G-617	The sum of coefficients is different on both sides 	 { P: 3}{ C: 21}{ H: 25}{ N: 7}{ O: 17}  	  { P: 3} { C: 21} { H: 27} { N: 7} { O: 17}   	  { H: -2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__17857	 RXN-17857	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 23}{ H: 34}{ N: 7}{ O: 17}  	  { P: 3} { S: 1} { C: 21} { H: 33} { N: 7} { O: 16}   	  { C: 2}{ H: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
GAMMA__45__GLUTAMYLTRANSFERASE__45__RXN	 GAMMA-GLUTAMYLTRANSFERASE-RXN	The sum of coefficients is different on both sides 	 { C: 12}{ X: 3}{ H: 19}{ N: 4}{ O: 8}  	  { C: 11} { X: 3} { H: 17} { N: 4} { O: 8}   	  { C: 1}{ H: 2}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN__45__13682	 RXN-13682	Reactants and product do not have the same elements  	 { X: 1}  	  { C: 19} { X: 2} { H: 29} { O: 1}   	  { X: -1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__1053	 RXN1G-1053	The sum of coefficients is different on both sides 	 { P: 3}{ C: 21}{ H: 27}{ N: 7}{ O: 17}  	  { P: 3} { C: 21} { H: 25} { N: 7} { O: 17}   	  { H: 2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__717	 RXN1G-717	Reactants and product do not have the same elements  	 { P: 3}{ C: 21}{ H: 25}{ N: 7}{ O: 17}  	  { P: 4} { S: 1} { C: 83} { X: 1} { H: 140} { N: 10} { O: 27}   	  { P: -1}{ C: -62}{ H: -115}{ N: -3}{ O: -10}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__16468	 RXN-16468	The sum of coefficients is different on both sides 	 { P: 3}{ C: 16}{ S: 1}{ X: 1}{ H: 25}{ N: 5}{ O: 15}  	  { P: 3} { S: 1} { C: 16} { X: 1} { H: 24} { N: 5} { O: 15}   	  { H: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__16117	 RXN-16117	Reactants and product do not have the same elements  	 { P: 4}{ S: 1}{ C: 42}{ H: 71}{ N: 7}{ O: 24}  	  { P: 4} { S: 1} { C: 25} { X: 1} { H: 38} { N: 7} { O: 23}   	  { C: 17}{ H: 33}{ O: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__26	 RXN1G-26	The sum of coefficients is different on both sides 	 { P: 1}{ S: 2}{ C: 39}{ X: 2}{ H: 68}{ N: 3}{ O: 12}  	  { P: 1} { C: 39} { S: 2} { X: 2} { H: 69} { N: 3} { O: 12}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 1}{ S: 2}{ C: 39}{ X: 2}{ H: 66}{ N: 3}{ O: 12} 	 { P: 1}{ C: 39}{ S: 2}{ X: 2}{ H: 69}{ N: 3}{ O: 12} 	 { H: -3} 	 
GENTAMICIN__45__3__45__N__45__ACETYLTRANSFERASE__45__RXN	 GENTAMICIN-3-N-ACETYLTRANSFERASE-RXN	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 23}{ H: 34}{ N: 7}{ O: 17}  	  { P: 3} { S: 1} { C: 21} { H: 33} { N: 7} { O: 16}   	  { C: 2}{ H: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN__45__11476	 RXN-11476	Reactants and product do not have the same elements  	 { P: 3}{ S: 1}{ C: 27}{ X: 1}{ H: 34}{ N: 7}{ O: 21}  	  { P: 3} { C: 21} { H: 25} { N: 7} { O: 17}   	  { S: 1}{ C: 6}{ X: 1}{ H: 9}{ O: 4}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__16989	 RXN-16989	The sum of coefficients is different on both sides 	 { C: 5}{ H: 4}{ O: 7}  	  { C: 5} { H: 4} { O: 6}   	  { O: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
BETA__45__GLUCURONID__45__RXN	 BETA-GLUCURONID-RXN	The sum of coefficients is different on both sides 	 { C: 6}{ X: 1}{ H: 11}{ O: 8}  	  { C: 6} { X: 1} { H: 10} { O: 8}   	  { H: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__16180	 RXN-16180	Reactants and product do not have the same elements  	 { P: 54}{ S: 13}{ C: 449}{ X: 1}{ H: 617}{ N: 144}{ O: 337}  	  { P: 54} { S: 12} { C: 428} { H: 587} { N: 144} { O: 335}   	  { S: 1}{ C: 21}{ X: 1}{ H: 30}{ O: 2}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__18910	 RXN-18910	Reactants and product do not have the same elements  	 { C: 68}{ X: 2}{ H: 118}{ N: 4}{ O: 55}  	  { C: 18} { H: 36} { O: 18}   	  { C: 50}{ X: 2}{ H: 82}{ N: 4}{ O: 37}  	 NO 	  	  - 	 - 	 - 	 - 	 
GSHTRAN__45__RXN	 GSHTRAN-RXN	The sum of coefficients is different on both sides 	 { S: 1}{ C: 10}{ X: 1}{ H: 16}{ N: 3}{ O: 6}  	  { S: 1} { C: 10} { H: 16} { X: 2} { N: 3} { O: 6}   	  { X: -1}  	 YES 	 Adding atoms of one element in reactans	 { S: 1}{ C: 10}{ X: -1}{ H: 16}{ N: 3}{ O: 6} 	 { S: 1}{ C: 10}{ H: 16}{ X: 2}{ N: 3}{ O: 6} 	 { X: -3} 	 
HALOALKANE__45__DEHALOGENASE__45__RXN	 HALOALKANE-DEHALOGENASE-RXN	The sum of coefficients is different on both sides 	 { C: 1}{ X: 1}{ H: 4}{ O: 1}  	  { C: 1} { H: 4} { X: 2} { O: 1}   	  { X: -1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__15510	 RXN-15510	Reactants and product do not have the same elements  	 { P: 1}{ C: 3}{ H: 4}{ O: 7}  	  { P: 2} { C: 10} { X: 1} { H: 11} { N: 4} { O: 12}   	  { P: -1}{ C: -7}{ H: -7}{ O: -5}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN__45__11026__45__CPD__45__10267__47__OXYGEN__45__MOLECULE__47____47__POLYMER__45__INST__45__TRANS__45__D2__45__ENOYL__45__COA__45__C6__45__H12__47__HYDROGEN__45__PEROXIDE__46__84__46__	 RXN-11026-CPD-10267/OXYGEN-MOLECULE//POLYMER-INST-TRANS-D2-ENOYL-COA-C6-H12/HYDROGEN-PEROXIDE.84.	The sum of coefficients is different on both sides 	 { P: 3}{ S: 1}{ C: 31}{ H: 50}{ N: 7}{ O: 19}  	  { P: 3} { S: 1} { C: 31} { H: 49} { N: 7} { O: 19}   	  { H: 1}  	 NO 	  	  - 	 - 	 - 	 - 	 
STEROL__45__GLUCOSYLTRANSFERASE__45__RXN	 STEROL-GLUCOSYLTRANSFERASE-RXN	The sum of coefficients is different on both sides 	 { P: 2}{ C: 15}{ H: 22}{ N: 2}{ O: 17}  	  { P: 2} { C: 9} { H: 12} { N: 2} { O: 12}   	  { C: 6}{ H: 10}{ O: 5}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
RXN__45__9527	 RXN-9527	The sum of coefficients is different on both sides 	 { S: 2}{ C: 11}{ X: 2}{ H: 18}{ O: 4}  	  { S: 2} { C: 11} { X: 2} { H: 19} { O: 4}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { S: 2}{ C: 11}{ X: 2}{ H: 16}{ O: 4} 	 { S: 2}{ C: 11}{ X: 2}{ H: 19}{ O: 4} 	 { H: -3} 	 
RXN__45__9661	 RXN-9661	The sum of coefficients is different on both sides 	 { P: 2}{ S: 1}{ C: 33}{ X: 1}{ H: 49}{ N: 7}{ O: 15}  	  { P: 2} { S: 1} { C: 33} { X: 1} { H: 50} { N: 7} { O: 15}   	  { H: -1}  	 YES 	 Adding atoms of one element in reactans	 { P: 2}{ S: 1}{ C: 33}{ X: 1}{ H: 47}{ N: 7}{ O: 15} 	 { P: 2}{ S: 1}{ C: 33}{ X: 1}{ H: 50}{ N: 7}{ O: 15} 	 { H: -3} 	 
RXN__45__16398	 RXN-16398	The sum of coefficients is different on both sides 	 { C: 28}{ X: 1}{ H: 41}{ N: 4}{ O: 6}  	  { C: 28} { X: 1} { H: 42} { N: 4} { O: 6}   	  { H: -1}  	 NO 	  	  - 	 - 	 - 	 - 	 
RXN1G__45__582	 RXN1G-582	The sum of coefficients is different on both sides 	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3}  	  { C: 1} { S: 1} { X: 1} { H: 2} { O: 2}   	  { C: 2}{ H: 1}{ O: 1}  	 YES 	 Impossible to solve by a system of equations	 { S: 1}{ C: 3}{ X: 1}{ H: 3}{ O: 3} 	 { C: 1}{ S: 1}{ X: 1}{ H: 2}{ O: 2} 	 { C: 2}{ H: 1}{ O: 1} 	 
RXN0__45__7078	 RXN0-7078	The sum of coefficients is different on both sides 	 { P: 2}{ C: 30}{ X: 1}{ H: 42}{ N: 10}{ O: 18}  	  { P: 2} { C: 29} { X: 2} { H: 42} { N: 9} { O: 17}   	  { C: 1}{ X: -1}{ N: 1}{ O: 1}  	 NO 	 Undefined solution by system of equations 	  - 	 - 	 - 	 - 	 
